weekday,dayofyear,timeslot,timeofday,grid,solar,zenith,DHI,DNI,GHI,Temp,minute,Wind,consumption,hour_angle_omega,declination_angle_delta,elevation_alpha,azimuth,DirHI,supervised_prediction,unsup_solar,load,Cloud,Dew,Wind,Water,hum,Press,Surface Albedo,dis_load
3,121,0,0,6.606,0.01,122.51,0,0,0,5.4,0,0,6.616,-3.16757056,0.260075308,-0.567407867,0.051935304,0,0,0,6.606,7,4.2,0.1,2.3,0.9218,994,0.14,6.606
3,121,1,0,8.915,0.01,122.345,0,0,0,5.45,15,0,8.925,-3.10212056,0.260075308,-0.564528067,0.083867933,0,0,0,8.915,7,4.2,0.1,2.3,0.9154,994,0.14,8.915
3,121,2,0,8.914,0.011,122.18,0,0,0,5.5,30,0,8.925,-3.03667056,0.260075308,-0.561648267,0.134005002,0,0,0,8.914,7,4.2,0.1,2.3,0.9154,994,0.14,8.914
3,121,3,0,10.22,0.01,121.605,0,0,0,5.55,45,0,10.23,-2.97122056,0.260075308,-0.5516126,0.210228365,0,0,0,10.22,7,4.4,0.1,2.3,0.9185,994,0.14,10.22
3,121,4,1,8.855,0.01,121.03,0,0,0,5.6,0,0,8.865,-2.90577056,0.260075308,-0.541576933,0.276652677,0,0,0,8.855,7,4.4,0.1,2.3,0.9185,994,0.14,8.855
3,121,5,1,11.576,0.01,120.08,0,0,0,5.65,15,0,11.586,-2.84032056,0.260075308,-0.524996267,0.349608024,0,0,0,11.576,4,4.4,0.1,2.3,0.9121,994,0.14,11.576
3,121,6,1,5.632,0.01,119.13,0,0,0,5.7,30,0,5.642,-2.77487056,0.260075308,-0.5084156,0.416114254,0,0,0,5.632,7,4.4,0.1,2.3,0.9121,994,0.14,5.632
3,121,7,1,6.054,0.011,117.825,0,0,0,5.7,45,0,6.065,-2.70942056,0.260075308,-0.485639,0.485053056,0,0,0,6.054,7,4.6,0.1,2.3,0.9232,994,0.14,6.054
3,121,8,2,5.012,0.011,116.52,0,0,0,5.7,0,0,5.023,-2.64397056,0.260075308,-0.4628624,0.54915858,0,0,0,5.012,8,4.6,0.1,2.3,0.9232,994,0.14,5.012
3,121,9,2,7.385,0.01,114.92,0,0,0,5.75,15,0,7.395,-2.57852056,0.260075308,-0.434937067,0.613320831,0,0,0,7.385,8,4.6,0.2,2.3,0.9232,994,0.14,7.385
3,121,10,2,9.534,0.011,113.32,0,0,0,5.8,30,0,9.545,-2.51307056,0.260075308,-0.407011733,0.673767628,0,0,0,9.534,4,4.5,0.2,2.3,0.9159,993,0.14,9.534
3,121,11,2,7.541,0.011,111.455,0,0,0,5.8,45,0,7.552,-2.44762056,0.260075308,-0.374461267,0.733430212,0,0,0,7.541,8,4.9,0.2,2.4,0.9425,993,0.14,7.541
3,121,12,3,9.615,0.011,109.59,0,0,0,5.8,0,0,9.626,-2.38217056,0.260075308,-0.3419108,0.790119214,0,0,0,9.615,4,4.9,0.2,2.4,0.9425,993,0.14,9.615
3,121,13,3,6.374,0.01,107.505,0,0,0,5.85,15,0,6.384,-2.31672056,0.260075308,-0.3055206,0.845529568,0,0,0,6.374,4,4.9,0.2,2.4,0.936,993,0.14,6.374
3,121,14,3,6.865,0.011,105.42,0,0,0,5.9,30,0,6.876,-2.25127056,0.260075308,-0.2691304,0.898571294,0,0,0,6.865,4,4.9,0.2,2.4,0.936,993,0.14,6.865
3,121,15,3,7.22,0.011,103.16,0,0,0,5.95,45,0,7.231,-2.18582056,0.260075308,-0.229685867,0.950199883,0,0,0,7.22,4,5.3,0.2,2.4,0.9556,993,0.14,7.22
3,121,16,4,9.61,0.011,100.9,0,0,0,6,0,0,9.621,-2.12037056,0.260075308,-0.190241333,0.999978146,0,0,0,9.61,4,5.3,0.2,2.5,0.9556,993,0.14,9.61
3,121,17,4,9.433,0.011,98.495,0,0,0,6.1,15,0,9.444,-2.05492056,0.260075308,-0.148266067,1.048455448,0,0,0,9.433,4,5.3,0.2,2.5,0.949,993,0.14,9.433
3,121,18,4,13.154,0.01,96.09,0,0,0,6.2,30,0,13.164,-1.98947056,0.260075308,-0.1062908,1.095522534,0,0,0,13.154,3,5.3,0.2,2.5,0.9425,993,0.14,13.154
3,121,19,4,13.785,0.011,93.565,0,0,0,6.25,45,0,13.796,-1.92402056,0.260075308,-0.062221133,1.141499476,0,0,0,13.785,0,5.7,0.2,2.5,0.9627,993,0.14,13.785
3,121,20,5,17.087,0.009,91.04,0,0,0,6.3,0,0,17.096,-1.85857056,0.260075308,-0.018151467,1.186456168,0,0,0,17.087,4,5.7,0.2,2.5,0.9617,992,0.14,17.087
3,121,21,5,17.821,0.011,88.335,2,0,2,6.5,15,0,17.832,-1.79312056,0.260075308,0.0290598,1.230577972,0,0.160128355,0.160179339,17.98117934,4,5.7,0.2,2.5,0.9486,992,0.14,17.98117934
3,121,22,5,15.937,0.018,85.63,4,0,4,6.7,30,0,15.955,-1.72767056,0.260075308,0.076271067,1.274006138,0,0.319867134,0.319965872,16.25696587,4,5.7,0.2,2.6,0.9356,992,0.14,16.25696587
